# date_created : 2019-10-17
# date_modified : 2019-10-17
#
name        type        filename                hash
pickles     stellar     pickles98_full.fits     e32ffe430571749a1c57cbbbf78c114617f68438ff2af20d16c7bd4718764349
brown       galaxy      brown14_full.fits       b0c163f0ea15a6b32a58b056c6d3c53abfd9ccec500d923afef1c9c36fb8fc9e
